date_collected,product_itemid,shopid,product_name,product_price,product_price_min,product_price_max,product_discount,product_brand,product_like_count,product_comment_count,product_views,product_total_rating,stock,units_sold,shop_location
6/28/2021,9561220312,64360491,korean fashion knitted Round neck blouse top short sleeves,300,250,250,17,No Brand,48,20,2138,4.84,266,80,"Pasay City, Metro Manila"
6/28/2021,3858042548,161903557,korean women trendy oversize shortsleeve plain long blouse/top fashion attire (568),150,79,79,47,No Brand,78,38,823,4.58,39810,174,"San Nicolas, Metro Manila"
6/28/2021,10406052237,449754824,【BTG】Short T-shirt Women's New V-neck Korean Style Wild Slim Slim High Waist Top,337,168,168,50,No Brand,34,0,1377,0,10998,1,Mainland China
6/28/2021,8058120397,360379308,Chiffon Short-Sleeve Fashion Off-Shoulder Korean Style Slim Fit Top Cute Tops,422,249,249,41,No Brand,37,1,2525,5,4778,3,Mainland China
6/28/2021,3540435040,64360491,korean fashion knitted blouse knitted top shortsleeve,400,199,199,50,No Brand,931,809,1818,4.89,603,1900,"Pasay City, Metro Manila"
6/28/2021,8545953626,11187885,square neck knitted women top blouse shirt rib knit korean bangkok fashuon short sleeves sexy B011,199,79,79,60,No Brand,663,94,17673,4.72,342,202,"Caloocan City, Metro Manila"
6/28/2021,8468768429,468959708,Round Neck Solid Color Pleated Puff Sleeve Short Sleeve T-shirt Blouse,521,261,261,50,No Brand,6,1,51,5,3759,1,"Sampaloc, Metro Manila"
6/28/2021,6853197860,36754442,Kathryn HIGH QUALITY Korean Garter Tops 11084#,199,65,65,67,No Brand,154,320,1547,4.69,144,747,"Taytay, Rizal"
6/28/2021,4410865892,55748694,SS Korean Tops Knitted Pastel Crop Top for Women,150,59,59,61,No Brand,3735,6506,19716,4.79,3415,17290,"Taytay, Rizal"
6/28/2021,8931473100,404554570,Short-sleeved Women's Korean Style Hollow V-neck Blouse Loose Clothes top,402,189,189,53,No Brand,1138,130,12103,4.66,300,345,"Sampaloc, Metro Manila"
6/28/2021,8067947495,468959708,Contrasting Color Ice Silk Knitted Cardigan Short Korean Women's T-shirt Short-sleeved Top,439,220,220,50,No Brand,30,1,284,5,998,1,"Sampaloc, Metro Manila"
6/28/2021,8744333276,420881087,"Blouse Tops Women Summer Korean Style Lace Printed Blouse, Round Neck Tops",665,310,310,53,No Brand,101,12,2172,4.92,9962,23,Mainland China
6/28/2021,9654201905,243356831,CL Random Women's Clothing Summer Korean Style Women's Short Sleeved Top and Women's T-Shirt,165,99,99,40,No Brand,19,22,1791,4.91,903,63,Mainland China
6/28/2021,4317866265,64909141,Fashion Women's Solid Half Turtleneck Casual Knitted Tops Sleeveless T-Shirt Crop top Korean top tank top KnitTop Dress,250,169,185,32,No Brand,4148,1439,7469,4.65,7543,5065,Mainland China
6/28/2021,5992257808,468959708,Printed T-shirt Women's Short V-neck Top Retro Flowers Short Sleeve Knit,521,261,261,50,No Brand,4,1,47,5,563,1,"Sampaloc, Metro Manila"
6/28/2021,8328044619,291088816,KOREAN KELSEY TRENDY TOP FIT UP TO MEDIUM,,59,59,0,No Brand,1,0,29,0,799999,1,"Taguig City, Metro Manila"
6/28/2021,3985462601,371422543,MOLLGE Black Shirt Men Korean Long Sleeve Shirt Trend Summer Thin Loose Solid Color Shirt Men Shirt Top,656,328,328,50,No Brand,107,4,2694,4.75,3983,12,Mainland China
6/28/2021,9154065935,287258928,Baju  New men's cotton short-sleeved Korean version of the trend loose gradient color tie-dye half-sleeved ins Hong Kong style T-shirt top,577,288,288,50,No Brand,0,1,146,5,19990,4,Mainland China
6/28/2021,6860818355,331814357,elegant bohemian women clothes short sleeves crop top,109,69,69,37,No Brand,412,38,1010,4.55,39239,133,"San Nicolas, Metro Manila"
6/28/2021,4189134771,314266101,【Plus Size】M-4XL Men's Summer New Style Striped Short-sleeved Casual Loose Trend Male T-shirt All-match O Neck High Street Couple Tops Retro Korean Style Harajuku Tee for Men,478,239,249,50,No Brand,2,1,118,5,23973,2,Mainland China
6/28/2021,5137118707,254758936,trendy men's casual tshirt streamer fake two pieces oversize loose drop shoulder couple tops Korean t shirt for men,616,369,369,40,No Brand,87,23,945,4.96,1545,45,Mainland China
6/28/2021,3032167190,371422543,MOLLGE Korean Temperament Draping Green White Shirt Men's Shirt Long Sleeve Shirt Loose Top,716,358,358,50,No Brand,271,13,4038,4.85,15951,36,Mainland China
6/28/2021,7678295688,25811092,FLY EMIRATES V neck Sublimation Crop Top,149,47,47,68,No Brand,4407,6597,75009,4.77,381,36720,"Pasay City, Metro Manila"
6/28/2021,9122398206,398300573,ATS #1612 NEW KOREAN UNISEX FASHION TOP TEES [ T-SHIRTS ] ROUNDNECK 100% GOOD QUALITY COTTON,350,109,109,69,No Brand,7,10,2109,4.6,19932,57,"Binondo, Metro Manila"
